fishnet_id,date,day_of_year,latitude,longitude,forest_area,region_ci,nsr_numerical_code,ffmc_interpolated,logit,probability
1571,2014-05-22,142,58.0948,-115.4972,High Level Forest Area,West Boreal,1,0.0,-12.501646795271,3.720507e-06
1572,2014-05-22,142,58.0954,-115.3275,High Level Forest Area,West Boreal,1,0.0,-11.539103585721,9.741521e-06
1573,2014-05-22,142,58.0957,-115.1578,High Level Forest Area,West Boreal,1,0.0,-12.756412500366,2.883761e-06
1574,2014-05-22,142,58.0958,-114.9881,High Level Forest Area,West Boreal,1,0.0,-12.166492914979,5.20184e-06
1575,2014-05-22,142,58.0957,-114.8184,High Level Forest Area,West Boreal,1,0.0,-12.468102132998,3.847427e-06
1576,2014-05-22,142,58.0953,-114.6487,High Level Forest Area,West Boreal,1,0.0,-12.474050195476,3.82461e-06
1577,2014-05-22,142,58.0947,-114.479,High Level Forest Area,West Boreal,1,0.0,-12.113867636385,5.482918e-06
1578,2014-05-22,142,58.0939,-114.3094,High Level Forest Area,West Boreal,1,0.0,-11.95245206004,6.443372e-06
1579,2014-05-22,142,58.0929,-114.1397,High Level Forest Area,West Boreal,1,0.0,-11.85191704875,7.124834e-06
1580,2014-05-22,142,58.0916,-113.97,High Level Forest Area,East Boreal,1,0.0,-12.137381596726,5.355498e-06
1631,2014-05-22,142,57.9871,-117.1878,High Level Forest Area,West Boreal,2,0.0,-9.226240466005,9.8412878e-05
1632,2014-05-22,142,57.9899,-117.0187,High Level Forest Area,West Boreal,2,0.0,-9.674771779734,6.2845286e-05
1633,2014-05-22,142,57.9925,-116.8496,High Level Forest Area,West Boreal,2,0.0,-8.198938795671,0.000274869614
1634,2014-05-22,142,57.9948,-116.6805,High Level Forest Area,West Boreal,2,0.0,-8.143745955665,0.000290462389
1635,2014-05-22,142,57.997,-116.5113,High Level Forest Area,West Boreal,2,0.0,-9.129083915981,0.000108453139
1636,2014-05-22,142,57.9989,-116.3421,High Level Forest Area,West Boreal,2,0.0,-8.451894982353,0.000213449891
1637,2014-05-22,142,58.0005,-116.1729,High Level Forest Area,West Boreal,2,0.0,-10.294232667185,3.3826485e-05
1638,2014-05-22,142,58.002,-116.0037,High Level Forest Area,West Boreal,1,0.0,-12.053576330284,5.823657e-06
1639,2014-05-22,142,58.0032,-115.8345,High Level Forest Area,West Boreal,1,0.0,-13.659230888052,1.169152e-06
1640,2014-05-22,142,58.0042,-115.6652,High Level Forest Area,West Boreal,1,0.0,-10.966606822937,1.7268542e-05
1641,2014-05-22,142,58.005,-115.496,High Level Forest Area,West Boreal,1,0.0,-11.975913498327,6.293962e-06
1642,2014-05-22,142,58.0055,-115.3267,High Level Forest Area,West Boreal,1,0.0,-12.430850295332,3.993453e-06
1643,2014-05-22,142,58.0058,-115.1574,High Level Forest Area,West Boreal,1,0.0,-13.183045949218,1.88224e-06
1644,2014-05-22,142,58.0059,-114.9882,High Level Forest Area,West Boreal,1,0.0,-12.987510483304,2.288732e-06
1645,2014-05-22,142,58.0058,-114.8189,High Level Forest Area,West Boreal,1,0.0,-13.268665072371,1.727791e-06
1646,2014-05-22,142,58.0055,-114.6496,High Level Forest Area,West Boreal,1,0.0,-12.367305770789,4.25545e-06
1647,2014-05-22,142,58.0049,-114.4803,High Level Forest Area,West Boreal,1,0.0,-13.374941530037,1.553589e-06
1648,2014-05-22,142,58.0041,-114.3111,High Level Forest Area,West Boreal,1,0.0,-13.348607919522,1.595044e-06
1649,2014-05-22,142,58.003,-114.1418,High Level Forest Area,West Boreal,1,0.0,-12.493685513402,3.750245e-06
1650,2014-05-22,142,58.0018,-113.9726,High Level Forest Area,East Boreal,1,0.0,-12.727513484686,2.968314e-06
1701,2014-05-22,142,57.8973,-117.1823,High Level Forest Area,West Boreal,2,0.0,-12.597687695213,3.37981e-06
1702,2014-05-22,142,57.9001,-117.0137,High Level Forest Area,West Boreal,2,0.0,-11.935309589996,6.554779e-06
1703,2014-05-22,142,57.9027,-116.845,High Level Forest Area,West Boreal,2,0.0,-9.463523725633,7.7626526e-05
1704,2014-05-22,142,57.905,-116.6763,High Level Forest Area,West Boreal,2,0.0,-12.569404381802,3.476767e-06
1705,2014-05-22,142,57.9071,-116.5075,High Level Forest Area,West Boreal,6,0.0,-13.460362271142,1.42639e-06
1706,2014-05-22,142,57.909,-116.3388,High Level Forest Area,West Boreal,6,0.0,-13.71867053942,1.101683e-06
1707,2014-05-22,142,57.9107,-116.17,High Level Forest Area,West Boreal,21,0.0,-12.293279470516,4.582417e-06
1708,2014-05-22,142,57.9121,-116.0012,High Level Forest Area,West Boreal,21,0.0,-14.216896194212,6.69391e-07
1709,2014-05-22,142,57.9134,-115.8324,High Level Forest Area,West Boreal,21,0.0,-13.178869258617,1.890118e-06
1710,2014-05-22,142,57.9144,-115.6636,High Level Forest Area,West Boreal,1,0.0,-12.621630677102,3.299849e-06
1711,2014-05-22,142,57.9151,-115.4947,High Level Forest Area,West Boreal,1,0.0,-10.532193560373,2.666336e-05
1712,2014-05-22,142,57.9157,-115.3259,High Level Forest Area,West Boreal,1,0.0,-8.582162345093,0.000187384154
